[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | NOTIC: [8] Undefined index: iseditor CommonAction.class.php 第 5532 行.
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | NOTIC: [8] Undefined index: iseditor CommonAction.class.php 第 5532 行.
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | NOTIC: [8] Undefined index: iseditor CommonAction.class.php 第 5532 行.
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | SQL: SHOW COLUMNS FROM `mis_system_areas` [ 执行文件：，行号:，运行时间:0.0050s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | SQL: SHOW COLUMNS FROM `mis_system_areas` [ 执行文件：，行号:，运行时间:0.0050s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | NOTIC: [8] Undefined index: extendwhere Model.class.php 第 278 行.
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | SQL: SELECT `id`,`name`,`parentid` FROM `mis_system_areas` WHERE ( `parentid` = '500000' )  [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Common\common.php，行号:7364，运行时间:0.0010s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | SQL: SELECT `id`,`name`,`parentid` FROM `mis_system_areas` WHERE ( `parentid` = '500000' )  [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Common\common.php，行号:7364，运行时间:0.0010s ]
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | INFO: [ route_check ] --START--
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | INFO: [ route_check ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | INFO: [ app_begin ] --START--
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | INFO: [ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | NOTIC: [2048] Declaration of IndexExtendAction::getAgeByToCarId() should be compatible with that of CommonAction::getAgeByToCarId() IndexExtendAction.class.php 第 20 行.
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `user` [ 执行文件：，行号:，运行时间:0.0050s ]
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `user` [ 执行文件：，行号:，运行时间:0.0050s ]
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | NOTIC: [2] Missing argument 1 for UserModel::getConfNotAuth(), called in E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php on line 90 and defined UserModel.class.php 第 409 行.
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | NOTIC: [8] Undefined variable: type UserModel.class.php 第 411 行.
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | NOTIC: [8] Undefined index: NOT_AUTH_MODUL UserModel.class.php 第 416 行.
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | NOTIC: [8] Undefined index: iseditor CommonAction.class.php 第 5532 行.
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | NOTIC: [8] Undefined index: iseditor CommonAction.class.php 第 5532 行.
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | NOTIC: [8] Undefined index: iseditor CommonAction.class.php 第 5532 行.
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | NOTIC: [8] Undefined index: iseditor CommonAction.class.php 第 5532 行.
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `mis_system_panel_desing_mas` [ 执行文件：，行号:，运行时间:0.0040s ]
[ 2018-09-30T16:20:20+08:00 ] /Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `mis_system_panel_desing_mas` [ 执行文件：，行号:，运行时间:0.0040s ]
