[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | SQL: SELECT mis_auto_pzfuk.id AS id,mis_auto_pzfuk.testman AS testman,mis_auto_pzfuk.bindid AS bindid,mis_auto_pzfuk.orderno AS orderno,mis_auto_pzfuk.status AS status,mis_auto_pzfuk.companyid AS companyid,mis_auto_pzfuk.createid AS createid,mis_auto_pzfuk.createtime AS createtime,mis_auto_pzfuk.updateid AS updateid,mis_auto_pzfuk.updatetime AS updatetime,mis_auto_pzfuk.operateid AS operateid,mis_auto_pzfuk.departmentid AS departmentid,mis_auto_pzfuk.projectid AS projectid,mis_auto_pzfuk.projectworkid AS projectworkid,mis_auto_pzfuk.sysdutyid AS sysdutyid,mis_auto_pzfuk.relationmodelname AS relationmodelname,mis_auto_pzfuk.auditUser AS auditUser,mis_auto_pzfuk.ptmptid AS ptmptid,mis_auto_pzfuk.flowid AS flowid,mis_auto_pzfuk.ostatus AS ostatus,mis_auto_pzfuk.auditState AS auditState,mis_auto_pzfuk.curAuditUser AS curAuditUser,mis_auto_pzfuk.curNodeUser AS curNodeUser,mis_auto_pzfuk.alreadyAuditUser AS alreadyAuditUser,mis_auto_pzfuk.alreadyauditnode AS alreadyauditnode,mis_auto_pzfuk.allnode AS allnode,mis_auto_pzfuk.informpersonid AS informpersonid,mis_auto_pzfuk.parentid AS parentid,mis_auto_pzfuk.name AS name FROM mis_auto_pzfuk mis_auto_pzfuk WHERE ( mis_auto_pzfuk.id = '17' ) LIMIT 1   [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php，行号:2891，运行时间:0.0010s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | SQL: SELECT mis_auto_pzfuk.id AS id,mis_auto_pzfuk.testman AS testman,mis_auto_pzfuk.bindid AS bindid,mis_auto_pzfuk.orderno AS orderno,mis_auto_pzfuk.status AS status,mis_auto_pzfuk.companyid AS companyid,mis_auto_pzfuk.createid AS createid,mis_auto_pzfuk.createtime AS createtime,mis_auto_pzfuk.updateid AS updateid,mis_auto_pzfuk.updatetime AS updatetime,mis_auto_pzfuk.operateid AS operateid,mis_auto_pzfuk.departmentid AS departmentid,mis_auto_pzfuk.projectid AS projectid,mis_auto_pzfuk.projectworkid AS projectworkid,mis_auto_pzfuk.sysdutyid AS sysdutyid,mis_auto_pzfuk.relationmodelname AS relationmodelname,mis_auto_pzfuk.auditUser AS auditUser,mis_auto_pzfuk.ptmptid AS ptmptid,mis_auto_pzfuk.flowid AS flowid,mis_auto_pzfuk.ostatus AS ostatus,mis_auto_pzfuk.auditState AS auditState,mis_auto_pzfuk.curAuditUser AS curAuditUser,mis_auto_pzfuk.curNodeUser AS curNodeUser,mis_auto_pzfuk.alreadyAuditUser AS alreadyAuditUser,mis_auto_pzfuk.alreadyauditnode AS alreadyauditnode,mis_auto_pzfuk.allnode AS allnode,mis_auto_pzfuk.informpersonid AS informpersonid,mis_auto_pzfuk.parentid AS parentid,mis_auto_pzfuk.name AS name FROM mis_auto_pzfuk mis_auto_pzfuk WHERE ( mis_auto_pzfuk.id = '17' ) LIMIT 1   [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php，行号:2891，运行时间:0.0010s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | SQL: SHOW COLUMNS FROM `process_info` [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php，行号:2891，运行时间:0.0060s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | SQL: SHOW COLUMNS FROM `process_info` [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php，行号:2891，运行时间:0.0060s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: extendwhere Model.class.php 第 278 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | SQL: SELECT * FROM `process_info` WHERE ( `nodename` = 'MisAutoAhf' ) AND ( `status` = 1 ) AND ( `default` = 1 ) AND ( `catgory` = 1 ) LIMIT 1   [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Model\ProcessInfoModel.class.php，行号:51，运行时间:0.0010s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | SQL: SELECT * FROM `process_info` WHERE ( `nodename` = 'MisAutoAhf' ) AND ( `status` = 1 ) AND ( `default` = 1 ) AND ( `catgory` = 1 ) LIMIT 1   [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Model\ProcessInfoModel.class.php，行号:51，运行时间:0.0010s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: fieldtype MisAutoAhfAction.class.php 第 14 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: bindaname MisAutoAhfAction.class.php 第 15 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined variable: data common.php 第 543 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: extendwhere Model.class.php 第 278 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | SQL: SELECT mis_auto_pzfuk.id AS id FROM mis_auto_pzfuk mis_auto_pzfuk WHERE ( mis_auto_pzfuk.id < '17' ) AND ( mis_auto_pzfuk.allnode = 'MisAutoAhf' ) ORDER BY mis_auto_pzfuk.id desc LIMIT 1   [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php，行号:2939，运行时间:0.0010s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | SQL: SELECT mis_auto_pzfuk.id AS id FROM mis_auto_pzfuk mis_auto_pzfuk WHERE ( mis_auto_pzfuk.id < '17' ) AND ( mis_auto_pzfuk.allnode = 'MisAutoAhf' ) ORDER BY mis_auto_pzfuk.id desc LIMIT 1   [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php，行号:2939，运行时间:0.0010s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: extendwhere Model.class.php 第 278 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | SQL: SELECT mis_auto_pzfuk.id AS id FROM mis_auto_pzfuk mis_auto_pzfuk WHERE ( mis_auto_pzfuk.id > '17' ) AND ( mis_auto_pzfuk.allnode = 'MisAutoAhf' ) LIMIT 1   [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php，行号:2943，运行时间:0.0000s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | SQL: SELECT mis_auto_pzfuk.id AS id FROM mis_auto_pzfuk mis_auto_pzfuk WHERE ( mis_auto_pzfuk.id > '17' ) AND ( mis_auto_pzfuk.allnode = 'MisAutoAhf' ) LIMIT 1   [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php，行号:2943，运行时间:0.0000s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | SQL: SHOW COLUMNS FROM `mis_attached_record` [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php，行号:2943，运行时间:0.0050s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | SQL: SHOW COLUMNS FROM `mis_attached_record` [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php，行号:2943，运行时间:0.0050s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: extendwhere Model.class.php 第 278 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | SQL: SELECT * FROM `mis_attached_record` WHERE ( `tableid` = '17' ) AND ( `status` = 1 ) AND ( `tablename` = 'MisAutoAhf' )  [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php，行号:6884，运行时间:0.0000s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | SQL: SELECT * FROM `mis_attached_record` WHERE ( `tableid` = '17' ) AND ( `status` = 1 ) AND ( `tablename` = 'MisAutoAhf' )  [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php，行号:6884，运行时间:0.0000s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 6886 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 6908 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | SQL: SHOW COLUMNS FROM `mis_address_record` [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php，行号:6884，运行时间:0.0050s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | SQL: SHOW COLUMNS FROM `mis_address_record` [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php，行号:6884，运行时间:0.0050s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: extendwhere Model.class.php 第 278 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | SQL: SELECT * FROM `mis_address_record` WHERE ( `tablename` = 'MisAutoAhf' ) AND ( `tableid` = 17 )  [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php，行号:2959，运行时间:0.0000s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | SQL: SELECT * FROM `mis_address_record` WHERE ( `tablename` = 'MisAutoAhf' ) AND ( `tableid` = 17 )  [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php，行号:2959，运行时间:0.0000s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [2] Missing argument 5 for SystemConfigDetailModel::GetDetailFile(), called in E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Model\SystemConfigDetailModel.class.php on line 163 and defined SystemConfigDetailModel.class.php 第 365 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [2] Missing argument 2 for CommonModel::getDynamicFileName(), called in E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Model\SystemConfigDetailModel.class.php on line 375 and defined CommonModel.class.php 第 636 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [2] Missing argument 5 for SystemConfigDetailModel::GetDetailFile(), called in E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Model\SystemConfigDetailModel.class.php on line 165 and defined SystemConfigDetailModel.class.php 第 365 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [2] Missing argument 2 for CommonModel::getDynamicFileName(), called in E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Model\SystemConfigDetailModel.class.php on line 375 and defined CommonModel.class.php 第 636 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: methods CommonAction.class.php 第 2317 行.
