[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: [ view_end ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ route_check ] --START--
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ route_check ] --START--
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ route_check ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ app_begin ] --START--
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ app_begin ] --START--
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | NOTIC: [8] Undefined index: authId common.php 第 4026 行.
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | NOTIC: [8] Undefined index: nodeActionName common.php 第 4027 行.
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | NOTIC: [8] Undefined index: nodeAuditId common.php 第 4029 行.
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | NOTIC: [8] Undefined index: login_type PublicAction.class.php 第 546 行.
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | SQL: SHOW COLUMNS FROM `user` [ 执行文件：，行号:，运行时间:0.0090s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | SQL: SHOW COLUMNS FROM `user` [ 执行文件：，行号:，运行时间:0.0090s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | SQL: SHOW COLUMNS FROM `user` [ 执行文件：，行号:，运行时间:0.0070s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | SQL: SHOW COLUMNS FROM `user` [ 执行文件：，行号:，运行时间:0.0070s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | NOTIC: [8] Undefined index: extendwhere Model.class.php 第 278 行.
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | SQL: SELECT * FROM `user` WHERE ( `status` = 1 ) AND (  ( `account` = 'admin' ) OR ( `zhname` = 'admin' ) ) LIMIT 1   [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\ORG\RBAC.class.php，行号:8，运行时间:0.0040s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | SQL: SELECT * FROM `user` WHERE ( `status` = 1 ) AND (  ( `account` = 'admin' ) OR ( `zhname` = 'admin' ) ) LIMIT 1   [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\ORG\RBAC.class.php，行号:8，运行时间:0.0040s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ view_template ] --START--
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ view_template ] --START--
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ view_template ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ view_parse ] --START--
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ view_parse ] --START--
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | NOTIC: [8] Undefined index: tml_remember Cookie.class.php 第 32 行.
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | NOTIC: [8] Undefined variable: logoPic 8466ecdcf08090cdb30a5c42b78611a8.php 第 173 行.
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | NOTIC: [8] Undefined index: tml_remember Cookie.class.php 第 32 行.
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | NOTIC: [8] Undefined index: tml_remember Cookie.class.php 第 32 行.
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run ParseTemplate Behavior [ RunTime:0.007000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run ParseTemplate Behavior [ RunTime:0.007000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ view_parse ] --END-- [ RunTime:0.007000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ view_filter ] --START--
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ view_filter ] --START--
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run ContentReplace Behavior [ RunTime:0.001001s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run ContentReplace Behavior [ RunTime:0.001001s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ view_filter ] --END-- [ RunTime:0.002001s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002001s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ view_end ] --START--
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ view_end ] --START--
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ view_end ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T09:56:59+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ route_check ] --START--
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ route_check ] --START--
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ route_check ] --END-- [ RunTime:0.002000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ app_begin ] --START--
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ app_begin ] --START--
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | NOTIC: [8] Undefined index: authId common.php 第 4026 行.
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | NOTIC: [8] Undefined index: nodeActionName common.php 第 4027 行.
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | NOTIC: [8] Undefined index: nodeAuditId common.php 第 4029 行.
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | NOTIC: [8] Undefined index: login_type PublicAction.class.php 第 546 行.
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | SQL: SHOW COLUMNS FROM `user` [ 执行文件：，行号:，运行时间:0.0140s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | SQL: SHOW COLUMNS FROM `user` [ 执行文件：，行号:，运行时间:0.0140s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | SQL: SHOW COLUMNS FROM `user` [ 执行文件：，行号:，运行时间:0.0120s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | SQL: SHOW COLUMNS FROM `user` [ 执行文件：，行号:，运行时间:0.0120s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | NOTIC: [8] Undefined index: extendwhere Model.class.php 第 278 行.
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | SQL: SELECT * FROM `user` WHERE ( `status` = 1 ) AND (  ( `account` = 'admin' ) OR ( `zhname` = 'admin' ) ) LIMIT 1   [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\ORG\RBAC.class.php，行号:8，运行时间:0.0070s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | SQL: SELECT * FROM `user` WHERE ( `status` = 1 ) AND (  ( `account` = 'admin' ) OR ( `zhname` = 'admin' ) ) LIMIT 1   [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\ORG\RBAC.class.php，行号:8，运行时间:0.0070s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ view_template ] --START--
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ view_template ] --START--
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ view_template ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ view_parse ] --START--
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ view_parse ] --START--
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | NOTIC: [8] Undefined index: tml_remember Cookie.class.php 第 32 行.
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | NOTIC: [8] Undefined variable: logoPic 8466ecdcf08090cdb30a5c42b78611a8.php 第 173 行.
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | NOTIC: [8] Undefined index: tml_remember Cookie.class.php 第 32 行.
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | NOTIC: [8] Undefined index: tml_remember Cookie.class.php 第 32 行.
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run ParseTemplate Behavior [ RunTime:0.009001s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run ParseTemplate Behavior [ RunTime:0.009001s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ view_parse ] --END-- [ RunTime:0.009001s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009001s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ view_filter ] --START--
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ view_filter ] --START--
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ view_filter ] --END-- [ RunTime:0.002000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ view_end ] --START--
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ view_end ] --START--
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: [ view_end ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T09:57:07+08:00 ] /Admin/index.php/Public/signin/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: [ app_begin ] --START--
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: Tag[ app_begin ] --START--
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
