[ 2018-09-30T10:32:07+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: [ route_check ] --START--
[ 2018-09-30T10:32:07+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: Tag[ route_check ] --START--
[ 2018-09-30T10:32:07+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2018-09-30T10:32:07+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2018-09-30T10:32:07+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: [ route_check ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T10:32:07+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T10:32:07+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: [ app_begin ] --START--
[ 2018-09-30T10:32:07+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: Tag[ app_begin ] --START--
[ 2018-09-30T10:32:07+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2018-09-30T10:32:07+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2018-09-30T10:32:07+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: Run CheckLang Behavior [ RunTime:0.002000s ]
[ 2018-09-30T10:32:07+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: Run CheckLang Behavior [ RunTime:0.002000s ]
[ 2018-09-30T10:32:07+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: [ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2018-09-30T10:32:07+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2018-09-30T10:32:07+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | SQL: SHOW COLUMNS FROM `user` [ 执行文件：，行号:，运行时间:0.0040s ]
[ 2018-09-30T10:32:07+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | SQL: SHOW COLUMNS FROM `user` [ 执行文件：，行号:，运行时间:0.0040s ]
[ 2018-09-30T10:32:07+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-09-30T10:32:07+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
